2018.07.28 18:39:59 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.4gb[3.6%], shards will be relocated away from this node
2018.07.28 18:39:59 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:40:29 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.4gb[3.6%], shards will be relocated away from this node
2018.07.28 18:40:59 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.4gb[3.6%], shards will be relocated away from this node
2018.07.28 18:40:59 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:41:29 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.4gb[3.6%], shards will be relocated away from this node
2018.07.28 18:41:59 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.4gb[3.6%], shards will be relocated away from this node
2018.07.28 18:41:59 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:42:29 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.4gb[3.6%], shards will be relocated away from this node
2018.07.28 18:42:59 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.4gb[3.6%], shards will be relocated away from this node
